case,rc,fault,rc_present,rc_ratio,worst,worst_ratio,rc_is_worst,max_ratio,rc_rank,n_svc
ts-auth-service_cpu/1,ts-auth-service,cpu,True,2.22569398309426,ts-auth-service,2.22569398309426,True,2.22569398309426,1,28
ts-auth-service_cpu/2,ts-auth-service,cpu,True,3.106976543560392,ts-auth-service,3.106976543560392,True,3.106976543560392,1,28
ts-auth-service_cpu/3,ts-auth-service,cpu,True,2.702062958748406,ts-auth-service,2.702062958748406,True,2.702062958748406,1,28
ts-auth-service_delay/1,ts-auth-service,delay,True,3.6663473297278513,ts-auth-service,3.6663473297278513,True,3.6663473297278513,1,28
ts-auth-service_delay/2,ts-auth-service,delay,True,1.746057985149765,ts-auth-service,1.746057985149765,True,1.746057985149765,1,28
ts-auth-service_delay/3,ts-auth-service,delay,True,1.8023832523408538,ts-auth-service,1.8023832523408538,True,1.8023832523408538,1,28
ts-auth-service_disk/1,ts-auth-service,disk,True,1.807211312247905,ts-ui-dashboard,1.9115307632135776,False,1.9115307632135776,2,28
ts-auth-service_disk/2,ts-auth-service,disk,True,2.6088077817504614,ts-auth-service,2.6088077817504614,True,2.6088077817504614,1,28
ts-auth-service_disk/3,ts-auth-service,disk,True,3.2070784445772236,ts-auth-service,3.2070784445772236,True,3.2070784445772236,1,28
ts-auth-service_loss/1,ts-auth-service,loss,True,1.1563200725245564,ts-price-service,1.2885728316764233,False,1.2885728316764233,5,28
ts-auth-service_loss/2,ts-auth-service,loss,True,1.16799135369082,ts-consign-service,1.185556126275818,False,1.185556126275818,2,28
ts-auth-service_loss/3,ts-auth-service,loss,True,1.2216360235494041,ts-order-other-service,1.522437388366154,False,1.522437388366154,4,28
ts-auth-service_mem/1,ts-auth-service,mem,True,3.454200894875993,ts-auth-service,3.454200894875993,True,3.454200894875993,1,28
ts-auth-service_mem/2,ts-auth-service,mem,True,3.53765585040322,ts-auth-service,3.53765585040322,True,3.53765585040322,1,28
ts-auth-service_mem/3,ts-auth-service,mem,True,3.07476357204934,ts-auth-service,3.07476357204934,True,3.07476357204934,1,28
ts-auth-service_socket/1,ts-auth-service,socket,True,3.274085381932122,ts-auth-service,3.274085381932122,True,3.274085381932122,1,28
ts-auth-service_socket/2,ts-auth-service,socket,True,2.8813204969503583,ts-auth-service,2.8813204969503583,True,2.8813204969503583,1,28
ts-auth-service_socket/3,ts-auth-service,socket,True,3.7857542119626157,ts-auth-service,3.7857542119626157,True,3.7857542119626157,1,28
ts-order-service_cpu/1,ts-order-service,cpu,True,2.4526995319674842,ts-order-service,2.4526995319674842,True,2.4526995319674842,1,28
ts-order-service_cpu/2,ts-order-service,cpu,True,3.601844668709677,ts-order-service,3.601844668709677,True,3.601844668709677,1,28
ts-order-service_cpu/3,ts-order-service,cpu,True,3.118441640553444,ts-order-service,3.118441640553444,True,3.118441640553444,1,28
ts-order-service_delay/1,ts-order-service,delay,True,25.005308207691876,ts-order-service,25.005308207691876,True,25.005308207691876,1,28
ts-order-service_delay/2,ts-order-service,delay,True,21.462013092818353,ts-order-service,21.462013092818353,True,21.462013092818353,1,21
ts-order-service_delay/3,ts-order-service,delay,True,34.495402423045526,ts-order-service,34.495402423045526,True,34.495402423045526,1,21
ts-order-service_disk/1,ts-order-service,disk,True,1.51012950487298,ts-preserve-service,1.6156287320780534,False,1.6156287320780534,2,28
ts-order-service_disk/2,ts-order-service,disk,True,0.4392604756137219,ts-inside-payment-service,1.4782452836704465,False,1.4782452836704465,21,21
ts-order-service_disk/3,ts-order-service,disk,True,5.158298342795385,ts-order-service,5.158298342795385,True,5.158298342795385,1,21
ts-order-service_loss/1,ts-order-service,loss,True,2.5140584006647435,ts-security-service,5.236641424605253,False,5.236641424605253,2,28
ts-order-service_loss/2,ts-order-service,loss,True,23.636163875329338,ts-order-service,23.636163875329338,True,23.636163875329338,1,21
ts-order-service_loss/3,ts-order-service,loss,True,22.78301649817366,ts-order-service,22.78301649817366,True,22.78301649817366,1,21
ts-order-service_mem/1,ts-order-service,mem,True,5.428351513638219,ts-order-service,5.428351513638219,True,5.428351513638219,1,28
ts-order-service_mem/2,ts-order-service,mem,True,5.846935580428428,ts-order-service,5.846935580428428,True,5.846935580428428,1,28
ts-order-service_mem/3,ts-order-service,mem,True,13.038544474841055,ts-order-service,13.038544474841055,True,13.038544474841055,1,28
ts-order-service_socket/1,ts-order-service,socket,True,9.02738929903436,ts-order-service,9.02738929903436,True,9.02738929903436,1,28
