case,rc,fault,rc_ratio,worst,worst_ratio,rc_is_worst,max_ratio,rc_rank,n_svc
checkoutservice_cpu/1,checkoutservice,cpu,0.9939449449274417,paymentservice,1.0638724663928196,False,1.0638724663928196,7,10
checkoutservice_cpu/2,checkoutservice,cpu,1.7476991436883607,checkoutservice,1.7476991436883607,True,1.7476991436883607,1,10
checkoutservice_cpu/3,checkoutservice,cpu,2.0600792663769156,checkoutservice,2.0600792663769156,True,2.0600792663769156,1,10
checkoutservice_delay/1,checkoutservice,delay,18.586244778751393,emailservice,46.147067412437146,False,46.147067412437146,4,10
checkoutservice_delay/2,checkoutservice,delay,19.16178086108606,emailservice,45.30342372987589,False,45.30342372987589,4,10
checkoutservice_delay/3,checkoutservice,delay,18.818839916350512,emailservice,45.885011135644355,False,45.885011135644355,4,10
checkoutservice_disk/1,checkoutservice,disk,1.0688212156764798,checkoutservice,1.0688212156764798,True,1.0688212156764798,1,10
checkoutservice_disk/2,checkoutservice,disk,2.1284107382027453,checkoutservice,2.1284107382027453,True,2.1284107382027453,1,10
checkoutservice_disk/3,checkoutservice,disk,1.9820173080217818,checkoutservice,1.9820173080217818,True,1.9820173080217818,1,10
checkoutservice_loss/1,checkoutservice,loss,20.431787684393218,checkoutservice,20.431787684393218,True,20.431787684393218,1,10
checkoutservice_loss/2,checkoutservice,loss,18.06077558909488,checkoutservice,18.06077558909488,True,18.06077558909488,1,10
checkoutservice_loss/3,checkoutservice,loss,23.955813808472072,checkoutservice,23.955813808472072,True,23.955813808472072,1,10
checkoutservice_mem/1,checkoutservice,mem,8.642171503822693,checkoutservice,8.642171503822693,True,8.642171503822693,1,10
checkoutservice_mem/2,checkoutservice,mem,8.610101825925645,checkoutservice,8.610101825925645,True,8.610101825925645,1,10
checkoutservice_mem/3,checkoutservice,mem,9.62468431248192,checkoutservice,9.62468431248192,True,9.62468431248192,1,10
checkoutservice_socket/1,checkoutservice,socket,1.4162313346043813,checkoutservice,1.4162313346043813,True,1.4162313346043813,1,10
checkoutservice_socket/2,checkoutservice,socket,1.1389622062772262,paymentservice,1.2825480572274766,False,1.2825480572274766,2,10
checkoutservice_socket/3,checkoutservice,socket,1.7140444019871455,checkoutservice,1.7140444019871455,True,1.7140444019871455,1,10
currencyservice_cpu/1,currencyservice,cpu,1.8237938787828933,frontend,2.1320575848452274,False,2.1320575848452274,3,10
currencyservice_cpu/2,currencyservice,cpu,1.7429957385027295,cartservice,2.352374765766702,False,2.352374765766702,4,10
currencyservice_cpu/3,currencyservice,cpu,1.7764097655840612,checkoutservice,2.2970452177071627,False,2.2970452177071627,3,10
currencyservice_delay/1,currencyservice,delay,4.190181765178916,frontend,7.925917515748827,False,7.925917515748827,3,10
currencyservice_delay/2,currencyservice,delay,40.79000899379956,currencyservice,40.79000899379956,True,40.79000899379956,1,10
currencyservice_delay/3,currencyservice,delay,41.227122359353864,currencyservice,41.227122359353864,True,41.227122359353864,1,10
currencyservice_disk/1,currencyservice,disk,7.980544077354088,currencyservice,7.980544077354088,True,7.980544077354088,1,10
currencyservice_disk/2,currencyservice,disk,2.1915255751038445,frontend,3.0858992028889887,False,3.0858992028889887,3,10
currencyservice_disk/3,currencyservice,disk,2.4088556074233325,frontend,3.3091313867910674,False,3.3091313867910674,3,10
currencyservice_loss/1,currencyservice,loss,47.55456607996736,currencyservice,47.55456607996736,True,47.55456607996736,1,10
currencyservice_loss/2,currencyservice,loss,102.0889145223585,currencyservice,102.0889145223585,True,102.0889145223585,1,10
currencyservice_loss/3,currencyservice,loss,16.694600403079036,frontend,28.58412561712124,False,28.58412561712124,2,10
currencyservice_mem/1,currencyservice,mem,8.821977899276604,currencyservice,8.821977899276604,True,8.821977899276604,1,10
currencyservice_mem/2,currencyservice,mem,9.696042257796949,currencyservice,9.696042257796949,True,9.696042257796949,1,10
currencyservice_mem/3,currencyservice,mem,8.881706373572731,currencyservice,8.881706373572731,True,8.881706373572731,1,10
currencyservice_socket/1,currencyservice,socket,1.0169485147290138,frontend,1.0528656525689497,False,1.0528656525689497,3,10
currencyservice_socket/2,currencyservice,socket,2.181317875228328,cartservice,3.3049924648178677,False,3.3049924648178677,4,10
currencyservice_socket/3,currencyservice,socket,3.4436383716734227,frontend,3.944405575034922,False,3.944405575034922,3,10
emailservice_cpu/1,emailservice,cpu,5.1103937794861976,emailservice,5.1103937794861976,True,5.1103937794861976,1,10
emailservice_cpu/2,emailservice,cpu,18.5377539811073,emailservice,18.5377539811073,True,18.5377539811073,1,10
emailservice_cpu/3,emailservice,cpu,18.153107794182002,emailservice,18.153107794182002,True,18.153107794182002,1,10
emailservice_delay/1,emailservice,delay,45.98699627809206,emailservice,45.98699627809206,True,45.98699627809206,1,10
emailservice_delay/2,emailservice,delay,45.180157375211344,emailservice,45.180157375211344,True,45.180157375211344,1,10
emailservice_delay/3,emailservice,delay,46.112020481655264,emailservice,46.112020481655264,True,46.112020481655264,1,10
emailservice_disk/1,emailservice,disk,4.615985769613172,emailservice,4.615985769613172,True,4.615985769613172,1,10
emailservice_disk/2,emailservice,disk,18.366875439876516,emailservice,18.366875439876516,True,18.366875439876516,1,10
emailservice_disk/3,emailservice,disk,18.27818702429739,emailservice,18.27818702429739,True,18.27818702429739,1,10
emailservice_loss/1,emailservice,loss,168.52461289853395,emailservice,168.52461289853395,True,168.52461289853395,1,10
emailservice_loss/2,emailservice,loss,31.79482238211362,emailservice,31.79482238211362,True,31.79482238211362,1,10
emailservice_loss/3,emailservice,loss,49.56574372856136,emailservice,49.56574372856136,True,49.56574372856136,1,10
emailservice_mem/1,emailservice,mem,361.9628054572356,emailservice,361.9628054572356,True,361.9628054572356,1,10
emailservice_mem/2,emailservice,mem,364.2532076437784,emailservice,364.2532076437784,True,364.2532076437784,1,10
emailservice_mem/3,emailservice,mem,342.8445902047456,emailservice,342.8445902047456,True,342.8445902047456,1,10
emailservice_socket/1,emailservice,socket,9.542899245536917,emailservice,9.542899245536917,True,9.542899245536917,1,10
emailservice_socket/2,emailservice,socket,9.779842122001337,emailservice,9.779842122001337,True,9.779842122001337,1,10
emailservice_socket/3,emailservice,socket,6.944072181605176,emailservice,6.944072181605176,True,6.944072181605176,1,10
productcatalogservice_cpu/1,productcatalogservice,cpu,10.134123356761501,productcatalogservice,10.134123356761501,True,10.134123356761501,1,10
productcatalogservice_cpu/2,productcatalogservice,cpu,17.593232610407792,productcatalogservice,17.593232610407792,True,17.593232610407792,1,10
productcatalogservice_cpu/3,productcatalogservice,cpu,17.654032862128894,productcatalogservice,17.654032862128894,True,17.654032862128894,1,10
productcatalogservice_delay/1,productcatalogservice,delay,48.22569873298173,productcatalogservice,48.22569873298173,True,48.22569873298173,1,10
productcatalogservice_delay/2,productcatalogservice,delay,48.51407816384834,productcatalogservice,48.51407816384834,True,48.51407816384834,1,10
productcatalogservice_delay/3,productcatalogservice,delay,48.77189091324629,productcatalogservice,48.77189091324629,True,48.77189091324629,1,10
productcatalogservice_disk/1,productcatalogservice,disk,16.487105896276283,productcatalogservice,16.487105896276283,True,16.487105896276283,1,10
productcatalogservice_disk/2,productcatalogservice,disk,18.976731979826038,productcatalogservice,18.976731979826038,True,18.976731979826038,1,10
productcatalogservice_disk/3,productcatalogservice,disk,19.209615358941285,productcatalogservice,19.209615358941285,True,19.209615358941285,1,10
productcatalogservice_loss/1,productcatalogservice,loss,845.2673265088359,productcatalogservice,845.2673265088359,True,845.2673265088359,1,10
productcatalogservice_loss/2,productcatalogservice,loss,1347.9901495895037,productcatalogservice,1347.9901495895037,True,1347.9901495895037,1,10
productcatalogservice_loss/3,productcatalogservice,loss,130.01886022738051,recommendationservice,213.30975682086387,False,213.30975682086387,2,10
productcatalogservice_mem/1,productcatalogservice,mem,336.9784414059227,productcatalogservice,336.9784414059227,True,336.9784414059227,1,10
productcatalogservice_mem/2,productcatalogservice,mem,72.05095236671453,recommendationservice,97.3603174609387,False,97.3603174609387,2,10
productcatalogservice_mem/3,productcatalogservice,mem,79.2067604363201,recommendationservice,121.60254447169014,False,121.60254447169014,2,10
productcatalogservice_socket/1,productcatalogservice,socket,21.593897585695586,productcatalogservice,21.593897585695586,True,21.593897585695586,1,10
productcatalogservice_socket/2,productcatalogservice,socket,6.8829106595288,productcatalogservice,6.8829106595288,True,6.8829106595288,1,10
productcatalogservice_socket/3,productcatalogservice,socket,4.492748647285218,productcatalogservice,4.492748647285218,True,4.492748647285218,1,10
recommendationservice_cpu/1,recommendationservice,cpu,9.67203550282071,recommendationservice,9.67203550282071,True,9.67203550282071,1,10
recommendationservice_cpu/2,recommendationservice,cpu,9.264933890321526,recommendationservice,9.264933890321526,True,9.264933890321526,1,10
recommendationservice_cpu/3,recommendationservice,cpu,9.12475796445818,recommendationservice,9.12475796445818,True,9.12475796445818,1,10
recommendationservice_delay/1,recommendationservice,delay,45.66909461139619,recommendationservice,45.66909461139619,True,45.66909461139619,1,10
recommendationservice_delay/2,recommendationservice,delay,45.80543004064649,recommendationservice,45.80543004064649,True,45.80543004064649,1,10
recommendationservice_delay/3,recommendationservice,delay,45.728944934376955,recommendationservice,45.728944934376955,True,45.728944934376955,1,10
recommendationservice_disk/1,recommendationservice,disk,17.40790140579633,recommendationservice,17.40790140579633,True,17.40790140579633,1,10
recommendationservice_disk/2,recommendationservice,disk,19.35971549830696,recommendationservice,19.35971549830696,True,19.35971549830696,1,10
recommendationservice_disk/3,recommendationservice,disk,19.00592517565497,recommendationservice,19.00592517565497,True,19.00592517565497,1,10
recommendationservice_loss/1,recommendationservice,loss,804.5851027535032,recommendationservice,804.5851027535032,True,804.5851027535032,1,10
recommendationservice_loss/2,recommendationservice,loss,377.43988819983304,recommendationservice,377.43988819983304,True,377.43988819983304,1,10
recommendationservice_loss/3,recommendationservice,loss,656.5219919000376,recommendationservice,656.5219919000376,True,656.5219919000376,1,10
recommendationservice_mem/1,recommendationservice,mem,121.00420130803235,recommendationservice,121.00420130803235,True,121.00420130803235,1,10
recommendationservice_mem/2,recommendationservice,mem,159.76106220432024,recommendationservice,159.76106220432024,True,159.76106220432024,1,10
recommendationservice_mem/3,recommendationservice,mem,158.8937291461256,recommendationservice,158.8937291461256,True,158.8937291461256,1,10
recommendationservice_socket/1,recommendationservice,socket,51.10928051950384,recommendationservice,51.10928051950384,True,51.10928051950384,1,10
recommendationservice_socket/2,recommendationservice,socket,5.419992618301754,recommendationservice,5.419992618301754,True,5.419992618301754,1,10
recommendationservice_socket/3,recommendationservice,socket,3.016451487666854,recommendationservice,3.016451487666854,True,3.016451487666854,1,10
