system,case_id,case_dir,rc_service,fault_type,n_services,naive_rank,Random_rank,BARO_rank,BARO_nsvc,BARO_secs,nsigma_rank,nsigma_nsvc,nsigma_secs,e_diagnosis_rank,e_diagnosis_nsvc,e_diagnosis_secs,CIRCA_rank,CIRCA_nsvc,CIRCA_secs,RCD_rank,RCD_err,RCD_secs
OB,OB/currencyservice_cpu/2,/home/user/data/RE2/RE2-OB/currencyservice_cpu/2,currencyservice,cpu,10,4,9,2,10,0.05,2,10,0.05,3.0,3,1.72,4,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/currencyservice_cpu/3,/home/user/data/RE2/RE2-OB/currencyservice_cpu/3,currencyservice,cpu,10,3,9,1,10,0.05,1,10,0.05,,2,1.66,2,10,12.27,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.75
OB,OB/currencyservice_delay/1,/home/user/data/RE2/RE2-OB/currencyservice_delay/1,currencyservice,delay,10,3,1,1,10,0.05,1,10,0.05,2.0,2,1.71,2,10,13.86,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.79
OB,OB/currencyservice_delay/2,/home/user/data/RE2/RE2-OB/currencyservice_delay/2,currencyservice,delay,10,1,5,1,10,0.05,1,10,0.05,1.0,3,1.67,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.62
OB,OB/currencyservice_delay/3,/home/user/data/RE2/RE2-OB/currencyservice_delay/3,currencyservice,delay,10,1,9,1,10,0.05,1,10,0.04,1.0,3,1.63,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64
OB,OB/currencyservice_disk/1,/home/user/data/RE2/RE2-OB/currencyservice_disk/1,currencyservice,disk,10,1,7,1,10,0.05,1,10,0.05,,3,1.68,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.51
OB,OB/currencyservice_disk/2,/home/user/data/RE2/RE2-OB/currencyservice_disk/2,currencyservice,disk,10,3,4,2,10,0.06,2,10,0.05,,3,1.74,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6
OB,OB/currencyservice_disk/3,/home/user/data/RE2/RE2-OB/currencyservice_disk/3,currencyservice,disk,10,3,2,2,10,0.05,2,10,0.06,,2,1.8,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.53
OB,OB/currencyservice_loss/1,/home/user/data/RE2/RE2-OB/currencyservice_loss/1,currencyservice,loss,10,1,8,1,10,0.05,1,10,0.05,1.0,3,1.68,4,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/currencyservice_loss/2,/home/user/data/RE2/RE2-OB/currencyservice_loss/2,currencyservice,loss,10,1,9,3,10,0.05,3,10,0.05,,2,1.76,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6
OB,OB/currencyservice_loss/3,/home/user/data/RE2/RE2-OB/currencyservice_loss/3,currencyservice,loss,10,2,2,4,10,0.05,4,10,0.05,,2,1.67,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.56
OB,OB/currencyservice_mem/1,/home/user/data/RE2/RE2-OB/currencyservice_mem/1,currencyservice,mem,10,1,4,1,10,0.05,1,10,0.05,,2,1.73,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.44
OB,OB/currencyservice_mem/2,/home/user/data/RE2/RE2-OB/currencyservice_mem/2,currencyservice,mem,10,1,9,1,10,0.07,1,10,0.05,,3,1.7,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.47
OB,OB/currencyservice_mem/3,/home/user/data/RE2/RE2-OB/currencyservice_mem/3,currencyservice,mem,10,1,7,1,10,0.05,1,10,0.05,1.0,3,1.72,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.51
OB,OB/currencyservice_socket/1,/home/user/data/RE2/RE2-OB/currencyservice_socket/1,currencyservice,socket,10,3,3,3,10,0.05,2,10,0.05,,2,1.68,3,10,14.15,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",1.06
OB,OB/currencyservice_socket/2,/home/user/data/RE2/RE2-OB/currencyservice_socket/2,currencyservice,socket,10,4,2,2,10,0.05,1,10,0.04,,2,1.66,2,10,11.4,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64
OB,OB/currencyservice_socket/3,/home/user/data/RE2/RE2-OB/currencyservice_socket/3,currencyservice,socket,10,3,5,2,10,0.05,2,10,0.05,,2,1.7,1,10,13.25,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.51
OB,OB/emailservice_cpu/1,/home/user/data/RE2/RE2-OB/emailservice_cpu/1,emailservice,cpu,10,1,10,2,10,0.05,1,10,0.14,2.0,3,1.69,1,10,13.52,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.62
OB,OB/emailservice_cpu/2,/home/user/data/RE2/RE2-OB/emailservice_cpu/2,emailservice,cpu,10,1,8,1,10,0.05,1,10,0.05,,3,1.74,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.8
OB,OB/emailservice_cpu/3,/home/user/data/RE2/RE2-OB/emailservice_cpu/3,emailservice,cpu,10,1,5,1,10,0.05,1,10,0.05,,3,1.7,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.56
OB,OB/emailservice_delay/1,/home/user/data/RE2/RE2-OB/emailservice_delay/1,emailservice,delay,10,1,1,2,10,0.06,1,10,0.05,,3,1.75,1,10,13.09,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64
OB,OB/emailservice_delay/2,/home/user/data/RE2/RE2-OB/emailservice_delay/2,emailservice,delay,10,1,7,1,10,0.05,1,10,0.05,1.0,2,1.68,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.72
OB,OB/emailservice_delay/3,/home/user/data/RE2/RE2-OB/emailservice_delay/3,emailservice,delay,10,1,4,1,10,0.05,1,10,0.05,,2,1.64,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.79
OB,OB/emailservice_disk/1,/home/user/data/RE2/RE2-OB/emailservice_disk/1,emailservice,disk,10,1,7,1,10,0.05,1,10,0.04,1.0,2,1.69,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.77
OB,OB/emailservice_disk/2,/home/user/data/RE2/RE2-OB/emailservice_disk/2,emailservice,disk,10,1,3,1,10,0.05,1,10,0.05,3.0,3,1.73,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.46
OB,OB/emailservice_disk/3,/home/user/data/RE2/RE2-OB/emailservice_disk/3,emailservice,disk,10,1,6,1,10,0.05,1,10,0.05,,3,1.78,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6
OB,OB/emailservice_loss/1,/home/user/data/RE2/RE2-OB/emailservice_loss/1,emailservice,loss,10,1,5,1,10,0.05,1,10,0.05,,3,1.71,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.63
OB,OB/emailservice_loss/2,/home/user/data/RE2/RE2-OB/emailservice_loss/2,emailservice,loss,10,1,6,1,10,0.05,1,10,0.05,,2,1.68,5,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.02
OB,OB/emailservice_loss/3,/home/user/data/RE2/RE2-OB/emailservice_loss/3,emailservice,loss,10,1,3,1,10,0.05,1,10,0.05,,3,1.7,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.51
OB,OB/emailservice_mem/1,/home/user/data/RE2/RE2-OB/emailservice_mem/1,emailservice,mem,10,1,2,1,10,0.05,1,10,0.04,,3,1.69,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.81
OB,OB/emailservice_mem/2,/home/user/data/RE2/RE2-OB/emailservice_mem/2,emailservice,mem,10,1,4,1,10,0.06,1,10,0.06,,3,1.77,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.8
OB,OB/emailservice_mem/3,/home/user/data/RE2/RE2-OB/emailservice_mem/3,emailservice,mem,10,1,4,1,10,0.05,1,10,0.05,,3,1.72,1,10,11.89,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.56
OB,OB/emailservice_socket/1,/home/user/data/RE2/RE2-OB/emailservice_socket/1,emailservice,socket,10,1,2,1,10,0.05,1,10,0.05,3.0,3,1.71,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64
OB,OB/emailservice_socket/2,/home/user/data/RE2/RE2-OB/emailservice_socket/2,emailservice,socket,10,1,1,1,10,0.05,1,10,0.04,,3,1.67,5,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.62
