system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/currencyservice_delay/2,/home/user/data/RE2/RE2-OB/currencyservice_delay/2,currencyservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1247721737,7,0,True,1,7,0.0011117005194183369,1.0,1.0,1.0,1,1,1,2.31
OB,OB/currencyservice_delay/3,/home/user/data/RE2/RE2-OB/currencyservice_delay/3,currencyservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,90484637,7,0,True,1,7,0.001111536930054508,1.0,1.0,1.0,1,1,1,2.34
OB,OB/currencyservice_disk/1,/home/user/data/RE2/RE2-OB/currencyservice_disk/1,currencyservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1827022088,7,0,True,1,7,0.001111136226965443,1.0,1.0,1.0,1,1,1,2.03
OB,OB/currencyservice_disk/2,/home/user/data/RE2/RE2-OB/currencyservice_disk/2,currencyservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3985098849,7,0,True,3,7,0.0011113969587865534,1.0,1.0,1.0,1,1,1,2.23
OB,OB/currencyservice_disk/3,/home/user/data/RE2/RE2-OB/currencyservice_disk/3,currencyservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1086019889,7,0,True,3,7,0.0011115864689712628,1.0,1.0,1.0,1,1,1,2.33
OB,OB/currencyservice_loss/1,/home/user/data/RE2/RE2-OB/currencyservice_loss/1,currencyservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3004221936,7,0,True,1,7,0.0011112690799261898,1.0,1.0,1.0,1,1,1,1.85
OB,OB/currencyservice_loss/2,/home/user/data/RE2/RE2-OB/currencyservice_loss/2,currencyservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,278631808,7,0,True,1,7,0.0011114445959538425,1.0,1.0,1.0,1,1,1,2.19
OB,OB/currencyservice_loss/3,/home/user/data/RE2/RE2-OB/currencyservice_loss/3,currencyservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2919618393,7,0,True,2,7,0.0011112084025397756,1.0,1.0,1.0,1,1,1,2.13
OB,OB/currencyservice_mem/1,/home/user/data/RE2/RE2-OB/currencyservice_mem/1,currencyservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,4096949896,7,0,True,1,7,0.0011114079673436752,1.0,1.0,1.0,1,1,1,2.18
OB,OB/currencyservice_mem/2,/home/user/data/RE2/RE2-OB/currencyservice_mem/2,currencyservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3607571771,7,0,True,1,7,0.0011114042988489834,1.0,1.0,1.0,1,1,1,2.38
