system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs
OB,OB/checkoutservice_loss/2,/home/user/data/RE2/RE2-OB/checkoutservice_loss/2,checkoutservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2310694792,406092,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705673762,10,True,1,7,0,0.0011152937948697645,5,1,5,1,1,5.0,3,1,3,1,1,3.0,5,1,5,1,1,5.0,2.33
OB,OB/checkoutservice_loss/3,/home/user/data/RE2/RE2-OB/checkoutservice_loss/3,checkoutservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3457291329,402659,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1708489141,10,True,1,7,0,0.0011152961469941514,5,1,5,1,1,5.0,3,1,3,1,1,3.0,5,1,5,1,1,5.0,1.85
OB,OB/checkoutservice_mem/1,/home/user/data/RE2/RE2-OB/checkoutservice_mem/1,checkoutservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2973958990,405917,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705462070,10,True,1,7,0,0.0011152875175823498,5,1,5,1,1,5.0,2,1,2,1,1,2.0,5,1,5,1,1,5.0,1.96
OB,OB/checkoutservice_mem/2,/home/user/data/RE2/RE2-OB/checkoutservice_mem/2,checkoutservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3879404975,327148,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705626077,10,True,1,7,0,0.0011154666327932003,4,1,4,1,1,4.0,2,1,2,1,1,2.0,4,1,4,1,1,4.0,1.57
OB,OB/checkoutservice_mem/3,/home/user/data/RE2/RE2-OB/checkoutservice_mem/3,checkoutservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1066536476,408171,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705627856,10,True,1,7,0,0.0011153414221663248,5,1,5,1,1,5.0,2,1,2,1,1,2.0,5,1,5,1,1,5.0,2.31
OB,OB/checkoutservice_socket/1,/home/user/data/RE2/RE2-OB/checkoutservice_socket/1,checkoutservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3284820971,404289,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705656313,10,True,1,7,0,0.0011154681505426318,5,1,5,1,1,5.0,1,1,1,1,1,1.0,5,1,5,1,1,5.0,2.47
OB,OB/checkoutservice_socket/2,/home/user/data/RE2/RE2-OB/checkoutservice_socket/2,checkoutservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1261066396,404599,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705660355,10,True,2,7,0,0.0011156659992466382,3,1,3,1,1,3.0,2,1,2,1,1,2.0,3,1,3,1,1,3.0,2.06
OB,OB/checkoutservice_socket/3,/home/user/data/RE2/RE2-OB/checkoutservice_socket/3,checkoutservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,800724845,408384,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705664091,10,True,1,7,0,0.0011154063214811004,5,1,5,1,1,5.0,2,1,2,1,1,2.0,5,1,5,1,1,5.0,1.99
OB,OB/currencyservice_cpu/1,/home/user/data/RE2/RE2-OB/currencyservice_cpu/1,currencyservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2150413506,401542,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705682817,10,True,3,7,0,0.0011154055535431944,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.02
OB,OB/currencyservice_cpu/2,/home/user/data/RE2/RE2-OB/currencyservice_cpu/2,currencyservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3311218365,401017,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705685216,10,True,4,7,0,0.0011154537137416326,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.18
