cell,n,top1,top1p,top3,top3p,b,c,p_one
a1_b1_pb0.35_ps0.4,180,103,0.5722222222222222,124,0.6888888888888889,12,51,0.999999916325044
a2_b5_pb0.35_ps0.4,180,101,0.5611111111111111,124,0.6888888888888889,12,53,0.9999999698623049
a1_b1_pb0.75_ps0.4,180,100,0.5555555555555556,123,0.6833333333333333,12,54,0.9999999819927518
a5_b2_pb0.75_ps0.4,180,100,0.5555555555555556,123,0.6833333333333333,12,54,0.9999999819927518
a2_b5_pb0.75_ps0.4,180,98,0.5444444444444444,124,0.6888888888888889,12,56,0.9999999936249838
a5_b2_pb0.35_ps0.4,180,97,0.5388888888888889,123,0.6833333333333333,12,57,0.9999999962220851
a1_b1_pb0.55_ps0.4,180,96,0.5333333333333333,123,0.6833333333333333,12,58,0.9999999977669126
a2_b5_pb0.55_ps0.4,180,96,0.5333333333333333,124,0.6888888888888889,12,58,0.9999999977669126
a5_b2_pb0.55_ps0.4,180,96,0.5333333333333333,124,0.6888888888888889,12,58,0.9999999977669126
