system,case_id,case_dir,rc_service,fault_type,CIRCA_tuned_rank,CIRCA_tuned_nsvc,n_cols_used,secs
TT,TT/ts-train-service_mem/2,/home/user/data/RE2/RE2-TT/ts-train-service_mem/2,ts-train-service,mem,24.0,28,328,0.16
TT,TT/ts-train-service_mem/3,/home/user/data/RE2/RE2-TT/ts-train-service_mem/3,ts-train-service,mem,1.0,20,26,1.62
TT,TT/ts-train-service_socket/1,/home/user/data/RE2/RE2-TT/ts-train-service_socket/1,ts-train-service,socket,1.0,4,8,0.1
TT,TT/ts-train-service_socket/2,/home/user/data/RE2/RE2-TT/ts-train-service_socket/2,ts-train-service,socket,1.0,7,14,0.24
TT,TT/ts-train-service_socket/3,/home/user/data/RE2/RE2-TT/ts-train-service_socket/3,ts-train-service,socket,24.0,28,323,0.1
TT,TT/ts-travel-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/1,ts-travel-service,cpu,3.0,27,45,13.91
TT,TT/ts-travel-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/2,ts-travel-service,cpu,1.0,8,10,0.19
TT,TT/ts-travel-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/3,ts-travel-service,cpu,1.0,6,8,0.12
TT,TT/ts-travel-service_delay/1,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/1,ts-travel-service,delay,2.0,7,11,0.18
TT,TT/ts-travel-service_delay/2,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/2,ts-travel-service,delay,1.0,5,7,0.11
TT,TT/ts-travel-service_delay/3,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/3,ts-travel-service,delay,25.0,28,327,0.1
TT,TT/ts-travel-service_disk/1,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/1,ts-travel-service,disk,1.0,6,8,0.13
TT,TT/ts-travel-service_disk/2,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/2,ts-travel-service,disk,1.0,8,10,0.2
TT,TT/ts-travel-service_disk/3,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/3,ts-travel-service,disk,1.0,4,6,0.09
TT,TT/ts-travel-service_loss/1,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/1,ts-travel-service,loss,25.0,28,323,0.09
TT,TT/ts-travel-service_loss/2,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/2,ts-travel-service,loss,4.0,8,13,0.25
TT,TT/ts-travel-service_loss/3,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/3,ts-travel-service,loss,25.0,28,334,0.09
TT,TT/ts-travel-service_mem/1,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/1,ts-travel-service,mem,25.0,28,332,0.15
TT,TT/ts-travel-service_mem/2,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/2,ts-travel-service,mem,1.0,14,23,0.85
TT,TT/ts-travel-service_mem/3,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/3,ts-travel-service,mem,25.0,28,321,0.09
TT,TT/ts-travel-service_socket/1,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/1,ts-travel-service,socket,1.0,3,6,0.09
TT,TT/ts-travel-service_socket/2,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/2,ts-travel-service,socket,25.0,28,327,0.08
TT,TT/ts-travel-service_socket/3,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/3,ts-travel-service,socket,25.0,28,319,0.08
