system,case_id,case_dir,rc_service,fault_type,ediag_unc_rank,ediag_unc_nsvc,ediag_unc_ncols_ranked,n_candidate_cols,secs
OB,OB/emailservice_disk/3,/home/user/data/RE2/RE2-OB/emailservice_disk/3,emailservice,disk,7.0,10,34,57,2.0
OB,OB/emailservice_loss/1,/home/user/data/RE2/RE2-OB/emailservice_loss/1,emailservice,loss,10.0,10,36,56,1.94
OB,OB/emailservice_loss/2,/home/user/data/RE2/RE2-OB/emailservice_loss/2,emailservice,loss,5.0,10,32,55,1.82
OB,OB/emailservice_loss/3,/home/user/data/RE2/RE2-OB/emailservice_loss/3,emailservice,loss,5.0,10,39,55,1.82
OB,OB/emailservice_mem/1,/home/user/data/RE2/RE2-OB/emailservice_mem/1,emailservice,mem,9.0,10,33,55,1.99
OB,OB/emailservice_mem/2,/home/user/data/RE2/RE2-OB/emailservice_mem/2,emailservice,mem,7.0,10,28,56,1.95
OB,OB/emailservice_mem/3,/home/user/data/RE2/RE2-OB/emailservice_mem/3,emailservice,mem,9.0,10,34,55,1.86
OB,OB/emailservice_socket/1,/home/user/data/RE2/RE2-OB/emailservice_socket/1,emailservice,socket,3.0,10,39,56,1.89
OB,OB/emailservice_socket/2,/home/user/data/RE2/RE2-OB/emailservice_socket/2,emailservice,socket,7.0,10,35,55,1.92
OB,OB/emailservice_socket/3,/home/user/data/RE2/RE2-OB/emailservice_socket/3,emailservice,socket,6.0,10,31,56,2.02
OB,OB/productcatalogservice_cpu/1,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/1,productcatalogservice,cpu,1.0,10,35,55,1.85
OB,OB/productcatalogservice_cpu/2,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/2,productcatalogservice,cpu,9.0,10,35,56,1.93
OB,OB/productcatalogservice_cpu/3,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/3,productcatalogservice,cpu,5.0,10,26,55,1.85
OB,OB/productcatalogservice_delay/1,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/1,productcatalogservice,delay,7.0,10,28,55,1.91
OB,OB/productcatalogservice_delay/2,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/2,productcatalogservice,delay,6.0,10,35,55,1.97
OB,OB/productcatalogservice_delay/3,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/3,productcatalogservice,delay,3.0,10,40,58,2.07
OB,OB/productcatalogservice_disk/1,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/1,productcatalogservice,disk,1.0,10,35,56,2.03
OB,OB/productcatalogservice_disk/2,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/2,productcatalogservice,disk,4.0,10,25,56,1.95
